pk_transaction_id,fk_responsible_employee_id,fk_customer_id,transaction_date,transaction_time,transaction_way,fk_promotion_id,initial_amount,discounted_amount
1,4,34,2021-05-15,13:45:00,Online,NULL,20.97,20.97
2,17,76,2021-05-16,10:30:00,In-store,NULL,32.97,32.97
3,8,13,2021-05-17,15:05:00,Online,NULL,8.93,8.93
4,16,55,2021-05-18,09:20:00,In-store,NULL,7.97,7.97
5,3,83,2021-05-19,14:55:00,Online,NULL,8.48,8.48
6,9,22,2021-05-20,08:30:00,In-store,NULL,20.37,20.37
7,14,48,2021-05-21,11:45:00,Online,NULL,7.98,7.98
8,5,69,2021-05-22,16:15:00,In-store,NULL,11.97,11.97
9,12,38,2021-05-23,10:00:00,Online,NULL,13.96,13.96
10,1,92,2021-05-23,17:45:00,In-store,NULL,18.3,18.3
11,7,75,2021-05-24,12:30:00,Online,NULL,17.94,17.94
12,2,57,2021-05-25,16:00:00,In-store,NULL,7.97,7.97
13,19,65,2021-05-26,09:20:00,Online,NULL,38.87,38.87
14,13,27,2021-05-27,14:55:00,In-store,NULL,7.95,7.95
15,20,44,2021-05-28,08:30:00,Online,NULL,14.94,14.94
16,11,32,2021-05-29,11:45:00,In-store,NULL,16.96,16.96
17,6,89,2021-05-30,16:15:00,Online,NULL,27.96,27.96
