pk_variant_discount_id,fk_discount_product_id,fk_discount_variant_id,variant_discount_rate,start_date,end_date
1,1,1,0.10,"2023-04-01","2023-04-07"
2,1,2,0.15,"2023-05-01","2023-05-15"
3,2,1,0.05,"2023-04-10","2023-04-20"
4,3,1,0.20,"2023-06-01","2023-06-15"
5,4,2,0.25,"2023-07-01","2023-07-10"
6,5,1,0.10,"2023-08-01","2023-08-31"
7,6,2,0.15,"2023-04-15","2023-05-01"
8,7,1,0.05,"2023-05-20","2023-06-20"
9,8,1,0.10,"2023-09-01","2023-09-15"
10,9,2,0.20,"2023-10-01","2023-10-07"
11,10,1,0.12,"2023-11-01","2023-11-10"
12,10,2,0.25,"2023-11-20","2023-12-05"
13,11,1,0.08,"2023-09-15","2023-10-01"
14,12,2,0.30,"2023-08-10","2023-08-25"
15,13,1,0.05,"2023-07-01","2023-07-20"
16,13,2,0.10,"2023-04-20","2023-05-05"
17,14,1,0.15,"2023-03-01","2023-03-31"
18,15,1,0.20,"2023-06-15","2023-07-01"
19,15,2,0.10,"2023-08-05","2023-08-20"
20,4,1,0.18,"2023-12-01","2023-12-15"
21,16,1,0.10,"2023-04-01","2023-04-07"
22,17,2,0.15,"2023-04-08","2023-04-15"
23,18,1,0.05,"2023-04-16","2023-04-22"
24,19,1,0.20,"2023-04-01","2023-04-07"
25,20,2,0.25,"2023-04-15","2023-04-20"
26,21,1,0.30,"2023-04-10","2023-04-17"
27,22,2,0.10,"2023-04-18","2023-04-25"
28,23,1,0.15,"2023-04-05","2023-04-12"
29,24,2,0.05,"2023-04-13","2023-04-19"
30,25,1,0.20,"2023-04-20","2023-04-30"
31,26,2,0.10,"2023-04-01","2023-04-08"
32,27,1,0.25,"2023-04-09","2023-04-15"
33,28,2,0.15,"2023-04-16","2023-04-22"
34,29,1,0.05,"2023-04-23","2023-04-29"
35,30,2,0.20,"2023-04-10","2023-04-17"
36,16,2,0.10,"2023-04-18","2023-04-24"
37,17,1,0.20,"2023-04-25","2023-04-30"
38,18,2,0.15,"2023-04-01","2023-04-07"
39,19,2,0.05,"2023-04-08","2023-04-14"
40,20,1,0.30,"2023-04-15","2023-04-21"
41,31,1,0.1,"2023-04-01","2023-04-07"
42,32,2,0.15,"2023-05-01","2023-05-08"
43,33,1,0.05,"2023-06-01","2023-06-15"
44,34,1,0.2,"2023-07-01","2023-07-07"
45,35,2,0.1,"2023-08-01","2023-08-10"
46,36,1,0.25,"2023-09-01","2023-09-05"
47,37,2,0.1,"2023-10-01","2023-10-06"
48,38,1,0.2,"2023-11-01","2023-11-07"
49,39,1,0.15,"2023-04-15","2023-04-22"
50,40,2,0.05,"2023-05-15","2023-05-20"
51,41,1,0.2,"2023-06-16","2023-06-25"
52,42,2,0.1,"2023-07-08","2023-07-14"
53,43,1,0.15,"2023-08-11","2023-08-17"
54,44,1,0.1,"2023-09-06","2023-09-12"
55,31,2,0.2,"2023-04-08","2023-04-14"
56,32,1,0.3,"2023-05-09","2023-05-16"
57,33,2,0.1,"2023-06-26","2023-06-30"
58,34,2,0.15,"2023-07-15","2023-07-21"
59,35,1,0.2,"2023-08-18","2023-08-24"
60,36,2,0.05,"2023-09-13","2023-09-19"
61,45,1,0.10,"2023-04-01","2023-04-10"
62,45,2,0.15,"2023-04-15","2023-04-25"
63,46,1,0.05,"2023-05-01","2023-05-07"
64,46,2,0.20,"2023-05-15","2023-05-22"
65,47,1,0.10,"2023-06-01","2023-06-10"
66,49,1,0.05,"2023-06-15","2023-06-20"
67,49,2,0.10,"2023-07-01","2023-07-15"
68,50,1,0.25,"2023-07-20","2023-07-30"
69,51,1,0.15,"2023-08-01","2023-08-11"
70,51,2,0.20,"2023-08-15","2023-08-25"
71,52,1,0.05,"2023-09-01","2023-09-10"
72,53,2,0.10,"2023-09-15","2023-09-25"
73,54,1,0.20,"2023-10-01","2023-10-07"
74,55,1,0.10,"2023-10-15","2023-10-22"
75,56,2,0.15,"2023-11-01","2023-11-15"
76,57,1,0.25,"2023-11-20","2023-11-30"
77,58,1,0.05,"2023-12-01","2023-12-10"
78,59,2,0.20,"2023-12-15","2023-12-25"
79,60,1,0.10,"2024-01-01","2024-01-10"
80,60,2,0.15,"2024-01-15","2024-01-25"
